Item ID,Matcode,Material Description,MRP,CaseCount,EAN,SubCategory,Brand,Category,10 lacs price,>10 lacs price,,,,,,,,,,,,,,,,
82243252,82242983,AMBI (AE  275G HWN+ 7.5ML VNLA)X6,550,6,4902430689878,Air Care,Ambipur,Perfumes & Scents,451,418,,,,,,,,,,,,,,,,
82243251,82242982,AMBI (AE 275GX6 LV&C+7.5 LVNDR SPA)X6,550,6,4902430689861,Air Care,Ambipur,Perfumes & Scents,451,418,,,,,,,,,,,,,,,,
82243250,82242981,AMBI (AE B&B 275G+ AQ 7.5ML)X6,450,6,4902430689854,Air Care,Ambipur,Perfumes & Scents,369,342,,,,,,,,,,,,,,,,
82198888,82227850,AMBI CARPREMIUM AQ (7.5MLX2)X12VP INR390,390,12,4902430648035,Air Care,Ambipur,Perfumes & Scents,319.8,296.4,,,,,,,,,,,,,,,,
82198898,82227846,AMBI CARPREMIUM LSP(7.5MLX2)X12VP INR390,390,12,4902430647991,Air Care,Ambipur,Perfumes & Scents,319.8,296.4,,,,,,,,,,,,,,,,
82221522,82227856,AMBI CARPREMIUM VBQ(7.5MLX2)X12VP INR390,390,12,4902430648080,Air Care,Ambipur,Perfumes & Scents,319.8,296.4,,,,,,,,,,,,,,,,
82221522,82209470,AMBIPUR CARPREMIUMCLIP VBQ(7.5MLX2)X12VP,375,12,4902430574105,Air Care,Ambipur,Perfumes & Scents,307.5,285,,,,,,,,,,,,,,,,
0,82232911,AMBI AE AIR SPRAY 275GX6 F&F INR285,285,6,4902430661782,Air Care,Ambipur,Perfumes & Scents,233.7,216.6,,,,,,,,,,,,,,,,
82198892,82227847,AMBI CARPREMIUM AQ ST7.5MLX12 INR280,280,12,4902430648004,Air Care,Ambipur,Perfumes & Scents,229.6,212.8,,,,,,,,,,,,,,,,
82198887,82227854,AMBI CARPREMIUM ATBC ST7.5MLX12 INR280,280,12,4902430648066,Air Care,Ambipur,Perfumes & Scents,229.6,212.8,,,,,,,,,,,,,,,,
82198896,82227832,AMBI CARPREMIUM LSPA ST7.5MLX12 INR280,280,12,4902430647953,Air Care,Ambipur,Perfumes & Scents,229.6,212.8,,,,,,,,,,,,,,,,
82198902,82227851,AMBI CARPREMIUM SC&Z ST7.5MLX12 INR280,280,12,4902430648042,Air Care,Ambipur,Perfumes & Scents,229.6,212.8,,,,,,,,,,,,,,,,
82198904,82227829,AMBI CARPREMIUM VBQ ST 7.5MLX12 INR280,280,12,4902430647939,Air Care,Ambipur,Perfumes & Scents,229.6,212.8,,,,,,,,,,,,,,,,
82198989,82227811,AMBI AE AIR SPRAY 275GX6 B&B INR270,270,6,4902430647748,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82198988,82227820,AMBI AE AIR SPRAY 275GX6 HWN INR270,270,6,4902430647793,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82199015,82227812,AMBI AE AIR SPRAY 275GX6 LV&C INR270,270,6,4902430647755,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82199014,82227822,AMBI AE AIR SPRAY 275GX6 NZS INR270,270,6,4902430647816,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82199125,82227814,AMBI AE AIR SPRAY 275GX6 S&R INR270,270,6,4902430647779,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82199017,82227813,AMBI AE AIR SPRAY 275GX6 SC&Z INR270,270,6,4902430647762,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82199012,82227821,AMBI AE AIR SPRAY 275GX6 TDF INR270,270,6,4902430647809,Air Care,Ambipur,Perfumes & Scents,221.4,205.2,,,,,,,,,,,,,,,,
82217835,82216523,AMBI AE AIRFRSHSPRAY 275GX6NZ VCHR,230,6,4902430544429,Air Care,Ambipur,Perfumes & Scents,188.6,174.8,,,,,,,,,,,,,,,,
82163367,82220003,AMBIPUR CARVENTCLIP 2MLX6X4 LGHT CTRS IN,210,24,4902430624794,Air Care,Ambipur,Perfumes & Scents,172.2,159.6,,,,,,,,,,,,,,,,
82163367,82224971,AMBIPUR CARVENTCLIP 2MLX6X4 LT CTRS STK,210,24,4902430624794,Air Care,Ambipur,Perfumes & Scents,172.2,159.6,,,,,,,,,,,,,,,,
82163365,82224970,AMBIPUR CARVENTCLIP 2MLX6X4 NZ SPRG STK,210,24,4902430624770,Air Care,Ambipur,Perfumes & Scents,172.2,159.6,,,,,,,,,,,,,,,,
82198890,82227848,AMBI CARPREMIUM AQ RF7.5MLX12 INR180,180,12,4902430648011,Air Care,Ambipur,Perfumes & Scents,147.6,136.8,,,,,,,,,,,,,,,,
82198886,82227855,AMBI CARPREMIUM ATBC RF7.5MLX12 INR180,180,12,4902430648073,Air Care,Ambipur,Perfumes & Scents,147.6,136.8,,,,,,,,,,,,,,,,
82198894,82227834,AMBI CARPREMIUM LSPA RF7.5MLX12 INR180,180,12,4902430647960,Air Care,Ambipur,Perfumes & Scents,147.6,136.8,,,,,,,,,,,,,,,,
82198901,82227852,AMBI CARPREMIUM SC&Z RF7.5MLX12 INR180,180,12,4902430648059,Air Care,Ambipur,Perfumes & Scents,147.6,136.8,,,,,,,,,,,,,,,,
82198903,82227831,AMBI CARPREMIUM VBQ RF7.5MLX12 INR180,180,12,4902430647946,Air Care,Ambipur,Perfumes & Scents,147.6,136.8,,,,,,,,,,,,,,,,
82163366,82227824,AMBI CARVENTCLIP 2MLX6X4 LAV.C INR175,175,24,4902430647854,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
